@relation 'train_best-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.08 pixel_778+0.08 pixel_576+0.079pixel_746+0.079pixel_517+0.078pixel_747...' numeric
@attribute -0.092pixel_15-0.087pixel_22-0.086pixel_11-0.085pixel_65-0.085pixel_184... numeric
@attribute -0.137pixel_802-0.136pixel_834-0.134pixel_770-0.133pixel_866-0.126pixel_898... numeric
@attribute 0.139pixel_63+0.139pixel_31+0.138pixel_30+0.136pixel_29+0.135pixel_32... numeric
@attribute -0.17pixel_740-0.166pixel_324-0.164pixel_708-0.162pixel_292-0.16pixel_227... numeric
@attribute '-0.191pixel_402-0.188pixel_626-0.18pixel_594+0.166pixel_932+0.16 pixel_997...' numeric
@attribute -0.163pixel_776-0.16pixel_808-0.149pixel_69-0.147pixel_840-0.142pixel_809... numeric
@attribute -0.152pixel_263+0.137pixel_1023+0.128pixel_990+0.127pixel_1022-0.116pixel_66... numeric
@attribute -0.138pixel_314-0.132pixel_200+0.132pixel_678+0.122pixel_773+0.122pixel_805... numeric
@attribute -0.176pixel_166-0.173pixel_198-0.156pixel_230-0.148pixel_995-0.145pixel_134... numeric
@attribute -0.145pixel_434+0.143pixel_730-0.135pixel_998-0.124pixel_323-0.123pixel_290... numeric
@attribute -0.142pixel_132-0.135pixel_100+0.134pixel_998+0.133pixel_965+0.129pixel_997... numeric
@attribute -0.144pixel_593-0.142pixel_233-0.142pixel_809-0.138pixel_433+0.135pixel_996... numeric
@attribute 0.166pixel_69-0.164pixel_625+0.142pixel_5-0.138pixel_658-0.135pixel_904... numeric
@attribute '0.23 pixel_807+0.183pixel_744-0.183pixel_574-0.176pixel_510-0.173pixel_606...' numeric
@attribute -0.234pixel_625+0.218pixel_232+0.187pixel_264+0.186pixel_200-0.185pixel_937... numeric
@attribute '-0.195pixel_391-0.168pixel_105+0.161pixel_76+0.16 pixel_43+0.154pixel_793...' numeric
@attribute 0.164pixel_233-0.159pixel_968+0.156pixel_825-0.142pixel_370+0.138pixel_791... numeric
@attribute '-0.19pixel_594+0.18 pixel_199-0.17pixel_408+0.167pixel_103+0.159pixel_538...' numeric
@attribute 0.194pixel_296+0.189pixel_434+0.163pixel_744+0.148pixel_168+0.147pixel_595... numeric
@attribute -0.249pixel_433-0.157pixel_277+0.152pixel_199+0.149pixel_171-0.148pixel_1024... numeric
@attribute 0.298pixel_807+0.203pixel_433+0.171pixel_264+0.159pixel_329+0.156pixel_265... numeric
@attribute 0.195pixel_625-0.191pixel_433+0.166pixel_402-0.165pixel_807+0.148pixel_403... numeric
@attribute -0.237pixel_1024+0.202pixel_625-0.196pixel_434+0.181pixel_403+0.163pixel_264... numeric
@attribute 0.212pixel_433-0.17pixel_905-0.165pixel_676+0.141pixel_99-0.137pixel_3... numeric
@attribute 0.209pixel_403+0.208pixel_105+0.182pixel_314+0.181pixel_6-0.168pixel_807... numeric
@attribute 0.262pixel_403+0.201pixel_744+0.172pixel_296-0.166pixel_402+0.158pixel_681... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 1.954944,1 2.58481,2 -0.391411,3 2.264685,4 0.265082,5 -0.203453,6 0.222378,7 0.352375,8 0.06955,9 -1.008154,10 -0.435748,11 -0.620328,12 -0.338586,13 -0.267815,14 -0.503536,15 -0.989104,16 0.090918,17 -0.386112,18 -0.317631,19 -0.555628,20 -0.215646,21 0.842017,22 0.448609,23 0.135978,24 -0.044947,25 0.297715,26 0.214752,27 8}
{0 3.138031,1 -2.802528,2 1.103083,3 1.194239,4 -1.203689,5 0.252207,6 -0.659917,7 1.013415,8 0.097591,9 -0.489592,10 0.690879,11 0.181521,12 -0.24163,13 -0.087667,14 -0.467306,15 -0.390581,16 -0.208123,17 -0.057032,18 0.061557,19 -0.4283,20 0.128867,21 0.269449,22 -0.535549,23 0.342755,24 -0.052476,25 -0.191351,26 0.266569,27 2}
{0 9.279689,1 -0.519121,2 1.974276,3 1.489648,4 -0.229115,5 1.4363,6 1.120394,7 0.625371,8 0.080306,9 0.080883,10 0.692567,11 0.267814,12 -0.429512,13 -0.049769,14 -0.397073,15 -0.331508,16 -0.182774,17 0.049366,18 -0.132789,19 0.054597,20 0.01766,21 0.451629,22 -0.094194,23 0.025998,24 -0.140618,25 -0.122046,26 -0.062918,27 2}
{0 0.842201,1 0.902774,2 -0.842701,3 1.142706,4 0.079103,5 0.731906,6 -0.389425,7 0.394281,8 0.464834,9 -1.210741,10 -0.47887,11 -0.515681,12 0.556656,13 -0.297125,14 -0.186314,15 -0.2712,16 0.155704,17 -0.029184,18 -0.503056,19 -0.026951,20 -0.241887,21 0.334001,22 -0.136247,23 0.384851,24 -0.290384,25 -0.268956,26 0.025197}
{0 2.551213,1 -2.065015,2 0.271614,3 0.880957,4 -0.256965,5 -0.864923,6 0.02232,7 0.559439,8 0.194829,9 -0.098957,10 -0.455765,11 0.269985,12 0.398163,13 0.31079,14 -0.307754,15 -0.533481,16 -0.033147,17 0.082216,18 -0.214527,19 0.432944,20 -0.259028,21 -0.018454,22 0.000466,23 -0.082421,24 0.219826,25 -0.157795,26 -0.024931,27 8}
{0 6.332347,1 0.134341,2 -1.673058,3 0.444881,4 -0.431775,5 -1.222598,6 0.964286,7 0.002734,8 0.019339,9 -1.081929,10 0.430417,11 0.864349,12 -0.337639,13 -0.48617,14 -0.653002,15 -0.103057,16 -0.368896,17 -0.033726,18 -0.131596,19 0.399315,20 0.241762,21 0.220414,22 0.168144,23 0.005621,24 -0.668258,25 0.148744,26 -0.088174,27 9}
{0 8.351182,1 -5.858427,2 -1.495752,3 2.871229,4 0.95357,5 -0.389234,6 0.587824,7 0.08906,8 -0.97616,9 0.142159,10 0.035337,11 0.353806,12 0.527778,13 -0.190395,14 -0.294408,15 0.305957,16 -0.017005,17 0.191027,18 0.073291,19 0.056348,20 0.169681,21 0.633919,22 0.029724,23 -0.22259,24 -0.226299,25 0.01812,26 0.194356,27 10}
{0 1.782535,1 2.755793,2 0.498815,3 2.75251,4 -0.089337,5 0.133658,6 1.045142,7 0.380118,8 -0.842927,9 -1.133731,10 -1.041204,11 -0.272439,12 -0.180864,13 0.524264,14 -0.547086,15 -0.124261,16 0.182812,17 -0.051888,18 0.390471,19 -0.006208,20 0.264374,21 -0.150157,22 -0.582745,23 -0.219864,24 -0.434641,25 -0.496187,26 0.429514,27 6}
{0 11.206166,1 -0.335988,2 -1.451558,3 1.671357,4 -0.556197,5 0.149531,6 -0.566536,7 -0.773584,8 -0.140689,9 0.564558,10 -0.566283,11 -0.027259,12 -0.347784,13 0.164233,14 -0.871475,15 0.046874,16 -0.255185,17 -0.449398,18 -0.166975,19 0.002579,20 -0.14009,21 0.461283,22 -0.464291,23 0.147365,24 -0.366556,25 -0.414385,26 0.078718,27 3}
{0 4.677066,1 3.045916,2 1.715917,3 0.993901,4 -1.15121,5 -1.938878,6 1.351435,7 -1.091554,8 -0.534069,9 0.367441,10 0.299055,11 0.334304,12 0.318252,13 0.956814,14 0.286813,15 -0.484297,16 -0.863098,17 -0.960209,18 -0.192238,19 -0.263101,20 0.262276,21 0.487168,22 0.078106,23 0.606131,24 0.093676,25 -0.207852,26 -0.309259,27 5}
{0 5.683378,1 -4.778627,2 -1.564844,3 1.827595,4 -0.241078,5 0.639651,6 1.013212,7 -0.500128,8 -1.485143,9 -0.27754,10 -0.352589,11 -0.755972,12 -0.104335,13 0.245134,14 -0.700337,15 0.03117,16 -0.495882,17 -0.145807,18 -0.745458,19 0.216433,20 0.153822,21 0.665519,22 -0.458587,23 -0.240768,24 -0.353645,25 -0.053231,26 -0.549907,27 3}
{0 6.183029,1 1.587731,2 -2.561583,3 1.522591,4 0.262967,5 0.698544,6 -0.304206,7 -0.981042,8 -0.216061,9 -0.071392,10 1.089623,11 -0.373902,12 0.325705,13 -0.317119,14 -0.394356,15 -1.139147,16 -0.120708,17 -0.668986,18 0.044915,19 -0.180247,20 0.553268,21 0.214959,22 -0.024957,23 -0.450448,24 -0.247294,25 -0.220859,26 -0.657397,27 3}
{0 4.55467,1 0.49392,2 -3.221189,3 0.295553,4 -0.019495,5 -0.089959,6 0.933215,7 0.499614,8 0.326995,9 -0.373532,10 0.805714,11 0.800493,12 -0.275394,13 0.198903,14 -1.308103,15 -0.341285,16 -0.593399,17 0.219248,18 0.306018,19 -0.256699,20 -0.014839,21 0.222015,22 -0.42933,23 0.338031,24 -0.117994,25 -0.009101,26 -0.168492,27 9}
{0 0.671242,1 -1.317974,2 -0.257909,3 1.857144,4 -1.01155,5 -0.116018,6 0.819132,7 -1.055107,8 0.952629,9 0.33716,10 0.263014,11 -0.452947,12 -0.133964,13 -0.071359,14 -0.354414,15 -0.028831,16 -0.007543,17 0.399892,18 0.0973,19 -0.027528,20 -0.005665,21 0.280274,22 0.165948,23 0.094008,24 -0.306609,25 -0.200173,26 0.09841,27 7}
{0 4.286025,1 0.871677,2 -0.028682,3 1.08978,4 -0.255983,5 -1.324896,6 0.246343,7 0.397693,8 0.428643,9 0.129104,10 -0.246874,11 0.288321,12 -0.032609,13 0.344784,14 -0.468136,15 -0.571171,16 0.496336,17 -0.088462,18 -0.270443,19 0.184477,20 -0.188223,21 -0.012617,22 -0.184617,23 -0.052879,24 0.190746,25 0.146007,26 0.262965,27 8}
{0 3.310091,1 -2.092521,2 -2.255916,3 0.97541,4 0.491834,5 0.389034,6 1.489383,7 -0.213406,8 0.285862,9 -0.405509,10 -0.099969,11 0.459105,12 -0.212586,13 0.384265,14 -0.254332,15 -0.058968,16 0.137634,17 -0.386719,18 0.409259,19 -0.434393,20 -0.820415,21 -0.159834,22 0.393627,23 -0.030864,24 -0.31275,25 -0.054947,26 -0.110611,27 6}
{0 5.963901,1 3.59688,2 1.722597,3 1.989977,4 -1.858284,5 -0.044329,6 1.290866,7 0.721101,8 -0.032551,9 0.364296,10 0.074068,11 0.402137,12 0.164342,13 -0.342964,14 -0.96309,15 0.068618,16 0.316311,17 -0.351652,18 0.365603,19 0.121341,20 -0.049575,21 0.449261,22 0.17508,23 0.021531,24 -0.346129,25 0.155662,26 -0.117855,27 2}
{0 7.081317,1 4.20885,2 0.519609,3 2.30609,4 -0.704847,5 -1.841168,6 0.506891,7 -0.272317,8 0.352091,9 0.915887,10 0.128744,11 -0.060699,12 -0.072922,13 0.841361,14 -1.056934,15 -0.823844,16 0.972066,17 0.022898,18 -0.214176,19 -0.415011,20 -0.291445,21 -0.030085,22 -0.426474,23 -0.314136,24 -0.203423,25 0.367886,26 -0.294589,27 10}
{0 2.328576,1 2.801795,2 -0.91146,3 2.510081,4 -0.50206,5 0.264057,6 0.250562,7 0.58263,8 0.241446,9 -1.483369,10 0.025949,11 -0.196929,12 0.469355,13 0.299978,14 -0.465524,15 0.151374,16 -0.131268,17 -0.151818,18 -0.369506,19 -0.130826,20 -0.076857,21 0.316164,22 0.253614,23 -0.479657,24 0.237433,25 -0.450304,26 0.116773,27 7}
{0 4.48324,1 -2.911414,2 -0.728475,3 0.631384,4 -0.628717,5 -0.820656,6 0.85932,7 0.150001,8 -0.162588,9 -0.914718,10 -0.138021,11 0.845708,12 -0.037005,13 -0.944513,14 -0.484879,15 -0.29807,16 -0.020156,17 -0.284545,18 0.120525,19 0.247158,20 0.097786,21 0.195241,22 -0.031149,23 -0.447939,24 -0.26424,25 0.033385,26 -0.028749,27 9}
{0 3.530649,1 -2.03462,2 0.326994,3 1.0797,4 0.824448,5 0.972882,6 0.416692,7 -0.19209,8 -0.217892,9 -0.244349,10 0.183213,11 0.279197,12 -0.584293,13 0.901988,14 -0.214903,15 -0.273103,16 0.421082,17 0.323623,18 -0.375315,19 -0.368049,20 -0.399287,21 0.195147,22 0.375534,23 -0.094384,24 -0.65752,25 -0.337487,26 -0.374642,27 2}
{0 1.097684,1 -1.964887,2 -0.303421,3 1.648309,4 -0.903573,5 0.184815,6 0.88881,7 -1.046588,8 0.352875,9 -0.123421,10 0.150444,11 -0.469777,12 -0.161446,13 0.138862,14 -0.428815,15 -0.091078,16 0.625881,17 -0.345223,18 -0.381373,19 0.225408,20 0.022707,21 0.175589,22 0.393149,23 0.22979,24 -0.004201,25 -0.268305,26 0.025589}
{0 0.515429,1 0.465585,2 0.217669,3 0.558155,4 -0.078151,5 0.337597,6 -0.019744,7 -0.156256,8 -0.274384,9 -0.136724,10 -0.413426,11 0.21403,12 0.062982,13 -0.116061,14 -0.24109,15 -0.236605,16 0.170045,17 0.045593,18 0.308987,19 0.0648,20 0.153026,21 -0.072732,22 -0.090051,23 -0.099457,24 -0.088501,25 0.087744,26 0.14091,27 2}
{0 4.896731,1 -3.039775,2 0.262465,3 0.68954,4 -0.815807,5 -0.791215,6 0.221065,7 0.357241,8 0.243652,9 -0.569924,10 -0.487433,11 -0.260456,12 0.469503,13 -0.159949,14 -0.039565,15 -0.428971,16 0.462531,17 0.411199,18 0.773916,19 -0.100048,20 -0.179104,21 0.30704,22 0.07229,23 0.372424,24 0.112132,25 -0.376408,26 -0.184989,27 7}
{0 2.711385,1 3.184156,2 0.105126,3 2.631515,4 -0.669748,5 -0.12442,6 0.75361,7 0.350912,8 -0.327717,9 -0.792788,10 -0.150107,11 -0.208912,12 0.236827,13 0.41734,14 -0.346743,15 0.149175,16 -0.108508,17 -0.454319,18 -0.058346,19 -0.170357,20 0.099154,21 0.320348,22 0.067262,23 -0.550911,24 -0.140058,25 -0.349524,26 -0.125921,27 4}
{0 3.681722,1 -4.778549,2 -0.78333,3 3.169419,4 -0.047208,5 0.173718,6 1.692659,7 -0.536351,8 -0.965411,9 -0.399356,10 0.287189,11 0.198552,12 0.225433,13 -0.377207,14 -0.230125,15 -0.037377,16 0.431171,17 -0.455015,18 -0.784018,19 -0.083743,20 0.03451,21 0.153719,22 -0.316274,23 0.261837,24 0.147055,25 0.376263,26 0.033882,27 10}
{0 4.635676,1 -1.466936,2 -3.467669,3 0.130769,4 -0.139516,5 0.181991,6 1.428738,7 0.421142,8 0.138355,9 -0.14438,10 0.3612,11 0.886954,12 -0.307855,13 -0.031996,14 -1.414302,15 -0.357766,16 -0.313795,17 -0.2382,18 0.461065,19 -0.296452,20 -0.317679,21 0.427068,22 -0.378898,23 0.218141,24 -0.200445,25 -0.023944,26 -0.181593,27 9}
{0 3.551714,1 3.690374,2 -0.091111,3 2.574317,4 -0.398623,5 -1.312593,6 1.178596,7 0.004295,8 -0.298519,9 -1.249808,10 0.177253,11 -0.066404,12 -0.592713,13 0.612475,14 -0.711367,15 -0.253944,16 -0.31001,17 0.144646,18 -0.320047,19 0.261144,20 0.117629,21 -0.10039,22 -0.046916,23 0.588936,24 -0.235633,25 -0.476664,26 -0.222194,27 9}
{0 6.920169,1 -0.838161,2 -1.481913,3 0.793694,4 -1.59294,5 -0.234334,6 0.696567,7 0.599928,8 0.003404,9 0.177235,10 0.297962,11 -0.319488,12 0.479552,13 0.559449,14 -0.378959,15 -0.571044,16 0.157944,17 -0.279516,18 -0.249744,19 0.555466,20 -0.073333,21 0.193891,22 -0.036591,23 -0.160205,24 -0.570429,25 -0.029414,26 0.251807,27 4}
{0 3.216704,1 -3.919855,2 -1.074585,3 1.709371,4 0.20993,5 -0.02875,6 1.373707,7 0.098511,8 -0.648629,9 -0.151895,10 -0.528238,11 0.488329,12 0.008878,13 0.032162,14 -0.217951,15 -0.515886,16 -0.212266,17 -0.165758,18 -0.476677,19 0.227151,20 -0.462684,21 0.24682,22 0.025231,23 -0.415135,24 -0.025373,25 -0.358838,26 -0.412841,27 8}
{0 8.371082,1 0.476735,2 2.478231,3 -0.294147,4 -0.231219,5 0.043235,6 0.51884,7 -1.616645,8 -0.610064,9 -0.723648,10 0.678351,11 -0.426268,12 0.910992,13 -0.135863,14 -1.122154,15 -0.503121,16 -0.177008,17 0.080278,18 -0.095632,19 -0.057638,20 -0.642658,21 0.125792,22 -0.151626,23 -0.312139,24 -0.08853,25 0.102742,26 0.363689,27 5}
